ActualTraffic,PredictedTraffic
573.5875704697986,582.0
783.4816958277255,660.5
529.1137174211249,512.5
509.1830210526316,529.5
327.69934369602765,482.5
455.2795024875621,582.0
521.6270889261745,582.0
467.91909766454353,512.5
471.5739865771812,512.5
402.87484276729555,484.5
382.936037735849,452.0
572.880288184438,606.0
444.65960641399414,484.5
484.2651077943615,512.5
491.07522207267834,512.5
727.9903808180536,512.5
478.4452584085316,462.5
503.4746433770015,452.0
557.4529411764706,606.0
377.0342786069652,462.5
567.5795680521597,484.5
509.29992258064516,512.5
627.1359517426273,582.0
473.42801152737746,582.0
606.0409237536657,484.5
559.1761671469741,606.0
711.1893833780161,618.5
465.3810989932886,529.5
523.9003178484107,460.0
430.37922893481715,618.5
496.6685590778098,529.5
559.8148590604027,582.0
430.5302010723861,460.0
503.5561350574713,452.0
444.3936440677966,482.5
520.1461844863732,582.0
388.90344502617796,452.0
625.0280508474576,606.0
570.3935110746513,512.5
561.1507855626328,582.0
529.3378484848485,618.5
432.4107204610951,482.5
853.1676586741889,606.0
373.20390909090906,512.5
734.1316611570248,582.0
481.18536912751676,618.5
491.7939205955335,660.5
493.0951876675603,512.5
480.726350671141,482.5
380.136916426513,512.5
585.6158099173554,529.5
521.3995894736842,541.5
764.3347413793103,618.5
861.0511876832845,606.0
557.944289544236,541.5
620.4684696356276,512.5
453.06256484149856,582.0
577.5036681222708,484.5
333.6911571675302,618.5
791.865439882698,582.0
565.2773900293255,482.5
470.77918588873814,512.5
519.6879723991508,529.5
483.81331265508686,484.5
373.97602305475505,452.0
410.92104697986576,460.0
792.9292895442359,660.5
613.7648774193549,618.5
564.1079473684212,582.0
400.06794473229706,512.5
719.1361487603306,606.0
515.3431823821339,512.5
761.658347107438,512.5
608.0793805309735,529.5
392.01853025936595,512.5
458.23556195965415,582.0
389.09294189602446,529.5
499.1278761061947,512.5
370.3075630252101,460.0
456.58885532591415,541.5
490.56119703389834,541.5
845.2603958944281,606.0
452.94465014577264,462.5
538.3377850697293,484.5
594.8689789473684,618.5
477.328672922252,462.5
546.1034008097166,529.5
554.8611876832845,460.0
346.56716753022454,660.5
649.3303056768559,529.5
601.5097696335079,618.5
414.12501059322034,462.5
612.0221238938053,582.0
378.8435854341737,484.5
501.0700864553314,529.5
693.3761042524005,618.5
556.631441048035,482.5
731.9547779273217,606.0
428.2053288590604,452.0
513.3044789081886,606.0
438.0185677419355,462.5
445.7033578947368,484.5
462.85806116207954,460.0
354.01209090909094,484.5
546.3190469208212,460.0
